text,agenda,question
почему вы хотеть получать этот работа ?,Вопрос,1
почему вы увольнять ?,Вопрос,1
почему этот должность освобождаться ?,Вопрос,1
"сколько еще собеседование и с кто я нужно быть проходить , прежде чем вы смочь принимать решение относительно мой кандидатура ?",Вопрос,1
с какой оборудование и программный обеспечение я предстоять работать ?,Вопрос,1
где я быть работать ?,Вопрос,1
я быть работать один или в команда ?,Вопрос,1
нужный профессиональный консультация ?,Вопрос,1
??,Вопрос,1
?,Вопрос,1
???,Вопрос,1
????,Вопрос,1
?????,Вопрос,1
how is your business ?,Вопрос,1
"как дело ? —  да , — отвечать я .  — я в порядок .",Вопрос,1
как дело у ты ? —  все хорошо .,Вопрос,1
"у ты дело как ? —  да , — отвечать я .  — у я",Вопрос,1
как твой дело ? —  все хорошо . —  ты не мочь я помогать,Вопрос,1
как твой дело ?,Вопрос,1
как погода ?,Вопрос,1
как дело ?,Вопрос,1
как дело ?,Вопрос,1
как дело ?,Вопрос,1
как идти дело ?,Вопрос,1
как оно ?,Вопрос,1
как оно ?,Вопрос,1
how is your business ?,Вопрос,1
"как дело ? —  да , — отвечать я .  — я в порядок .",Вопрос,1
как дело у ты ? —  все хорошо .,Вопрос,1
"у ты дело как ? —  да , — отвечать я .  — у я",Вопрос,1
как твой дело ? —  все хорошо . —  ты не мочь я помогать,Вопрос,1
как твой дело ?,Вопрос,1
как погода ?,Вопрос,1
как дело ?,Вопрос,1
как дело ?,Вопрос,1
как дело ?,Вопрос,1
как идти дело ?,Вопрос,1
как оно ?,Вопрос,1
как оно ?,Вопрос,1
how is your business ?,Вопрос,1
"как дело ? —  да , — отвечать я .  — я в порядок .",Вопрос,1
как дело у ты ? —  все хорошо .,Вопрос,1
"у ты дело как ? —  да , — отвечать я .  — у я",Вопрос,1
как твой дело ? —  все хорошо . —  ты не мочь я помогать,Вопрос,1
как твой дело ?,Вопрос,1
погода в москва в этот год быть не очень хороший ?,Вопрос,1
дождь ?,Вопрос,1
снег ?,Вопрос,1
град ?,Вопрос,1
изморось ?,Вопрос,1
солнце ярко светить ?,Вопрос,1
небо ясный ?,Вопрос,1
небо чисто ?,Вопрос,1
чистый небо ?,Вопрос,1
ярко ли солнце светить с утро ?,Вопрос,1
утро быть дождь ?,Вопрос,1
когда быть ясный ?,Вопрос,1
когда быть дождь ?,Вопрос,1
дождь когда то быть ?,Вопрос,1
"снегопад , который начинаться в воскресение проходить ?",Вопрос,1
рахмет,Не вопрос,0
ಧನ್ಯವಾದಗಳು,Не вопрос,0
gràcies,Не вопрос,0
murakoze,Не вопрос,0
рахмат,Не вопрос,0
謝 謝,Не вопрос,0
谢 谢,Не вопрос,0
добро благодарность ждать —,Не вопрос,0
бесконечно благодарный существовать,Не вопрос,0
благодарность быстро стареть,Не вопрос,0
принимать благодеяние благодарность уплачивать первый взнос,Не вопрос,0
благодарить господин жизнь который сей пора абсолютно чудесный,Не вопрос,0
благодарить благодарить,Не вопрос,0
спасибо господи каждый новый день,Не вопрос,0
благодарить уметь благодарить,Не вопрос,0
благодарить … способность дар,Не вопрос,0
благодарить … рожать,Не вопрос,0
благодарить каждый лепесток,Не вопрос,0
благодарить часто вверх смотреть,Не вопрос,0
благодарить … требовать взамен …,Не вопрос,0
благодарить конец …,Не вопрос,0
благодарить,Не вопрос,0
спасибо милый,Не вопрос,0
сила наш благодарность,Не вопрос,0
спасибо любимый друг,Не вопрос,0
справляться смочь осиливать,Не вопрос,0
благодарность знать граница,Не вопрос,0
очень обязанный,Не вопрос,0
знать делать,Не вопрос,0
спасибо сделать,Не вопрос,0
большой чистый спасибо,Не вопрос,0
хотеть искренне поблагодарить,Не вопрос,0
невероятно ценить сделать,Не вопрос,0
обязанный должный,Не вопрос,0
делать ситуация,Не вопрос,0
знать отблагодарить,Не вопрос,0
тысяча слово « спасибо » хватить выражать насколько благодарный,Не вопрос,0
признательный,Не вопрос,0
пропадать,Не вопрос,0
мочь помогать,Не вопрос,0
это забывать,Не вопрос,0
благодарить судьба посылать замечательный человек,Не вопрос,0
причитаться,Не вопрос,0
благодарить забывать это,Не вопрос,0
спасибо преогромный сомнение ваш поступок забывать,Не вопрос,0
невозможно выражать слово благодарный …,Не вопрос,0
очень признательный,Не вопрос,0
вельми понеже премного благодарный древний русский,Не вопрос,0
спасибо уважать поступок человек,Не вопрос,0
помогать,Не вопрос,0
ваш услуга участие неоценимый,Не вопрос,0
огромный спасибо …,Не вопрос,0
спасибо протягивать рука помощь,Не вопрос,0
благодарить добросовестный отношение ко,Не вопрос,0
благодарный,Не вопрос,0
вовремя помогать помогать,Не вопрос,0
спасибо ваш старание стремление,Не вопрос,0
спасать бог господь,Не вопрос,0
вовремя подвертываться посылать бог,Не вопрос,0
премного благодарный,Не вопрос,0
очень помогать,Не вопрос,0
выражать слово весь,Не вопрос,0
мочь передавать благодарность слово,Не вопрос,0
ваш должник,Не вопрос,0
выручать,Не вопрос,0
очень везти обращаться,Не вопрос,0
принимать искренний глубокий благодарность,Не вопрос,0
искренне весь душа помнить день,Не вопрос,0
благодарность предел,Не вопрос,0
выражать свой признательность,Не вопрос,0
большой спасибо,Не вопрос,0
очень признательный,Не вопрос,0
хватать слово выражать свой благодарность,Не вопрос,0
забывать ваш участие,Не вопрос,0
ваш помощь оказываться очень кстати,Не вопрос,0
благодарный содеять,Не вопрос,0
выражать слово благодарность,Не вопрос,0
премного благодарный,Не вопрос,0
человек,Не вопрос,0
благодарить,Не вопрос,0
сказать спасибо,Не вопрос,0
спасибо сказать,Не вопрос,0
спасибо,Не вопрос,0
благо дарить,Не вопрос,0
фауфп,Не вопрос,0
холодно,Не вопрос,0
прохладно,Не вопрос,0
прохладно,Не вопрос,0
прохладно,Не вопрос,0
знойно,Не вопрос,0
фауфп,Не вопрос,0
дратуть,Не вопрос,0
гавнопад,Не вопрос,0
ку,Не вопрос,0
✋,Не вопрос,0
✋,Не вопрос,0
✋,Не вопрос,0
✋,Не вопрос,0
✋,Не вопрос,0
прифок,Не вопрос,0
прив,Не вопрос,0
хай,Не вопрос,0
приет,Не вопрос,0
крч скачать нейронка распознавание фотка,Не вопрос,0
москва хуйня,Не вопрос,0
поход класс перевешиает,Не вопрос,0
б просто финансы беспечивать простой человек интересный,Не вопрос,0
никита скидывать робот макрос код макрос хотябать выкладывать,Не вопрос,0
очки удар накинуть наверное стерлинг несколько удушать взять,Не вопрос,0
бакалавр манистра,Не вопрос,0
инф владеть даж расширение мочь давать комментарий,Не вопрос,0
тупой,Не вопрос,0
поход просто конец шарить,Не вопрос,0
переделывать доховать,Не вопрос,0
суть лавка работать,Не вопрос,0
программа собеседник напоминать личный секретарь круг обязанность входить информирование погода перевод деньги напоминание важный событие запись прием врач многий,Не вопрос,0
помощь botfather создавать новый бот telegram изменять настройка существующий например добавлять описание устанавливать аватарка бот,Не вопрос,0
бранить погода – меняться девять человек десять смочь начинать разговор,Не вопрос,0
климат ирландия изумительный погода гробить,Не вопрос,0
нравиться погода новый англия подождать несколько минута,Не вопрос,0
метеорология научный обоснование неверный прогноз,Не вопрос,0
метеоролог лишь различный образ объяснять погода дело заключаться изменять,Не вопрос,0
плохой погода бывать бывать неподходящий костюм сэр ранульф файнс,Не вопрос,0
цель,Не вопрос,0
место,Не вопрос,0
погода,Не вопрос,0
дело,Не вопрос,0
дело,Не вопрос,0
дело,Не вопрос,0
идти дело,Не вопрос,0
оно,Не вопрос,0
оно,Не вопрос,0
заниматься,Не вопрос,0
заниматься весь время,Не вопрос,0
заниматься весь время,Не вопрос,0
особенный вопрос ответ,Не вопрос,0
особенный,Не вопрос,0
особенный,Не вопрос,0
oh ’ really great complaints ’ going,Не вопрос,0
nan,Не вопрос,0
nan,Не вопрос,0
nan,Не вопрос,0
nan,Не вопрос,0
nan,Не вопрос,0
nan,Не вопрос,0
long,Не вопрос,0
nan,Не вопрос,0
much,Не вопрос,0
many,Не вопрос,0
whose,Не вопрос,0
nan,Не вопрос,0
хотеть свой день рождение,Не вопрос,0
аудитория твой,Не вопрос,0
планировать путешествовать,Не вопрос,0
твой экзамен,Не вопрос,0
собираться навещать люся,Не вопрос,0
почему ходить парк вчера,Не вопрос,0
долго оставаться лондон,Не вопрос,0
удаваться получать диплом,Не вопрос,0
сколько человек твой офис,Не вопрос,0
сколько деньги нужно,Не вопрос,0
чей это машина,Не вопрос,0
звонить прошлый ночь,Не вопрос,0
приводить твой сестра школа,Не вопрос,0
заставлять улыбаться,Не вопрос,0
call last night,Не вопрос,0
brought sister school,Не вопрос,0
makes smile,Не вопрос,0
much money need,Не вопрос,0
call last night,Не вопрос,0
go park yesterday,Не вопрос,0
going visit lucy,Не вопрос,0
твой дело —  —  мочь помогать,Не вопрос,0
твой дело,Не вопрос,0
погода,Не вопрос,0
дело,Не вопрос,0
дело,Не вопрос,0
дело,Не вопрос,0
идти дело,Не вопрос,0
оно,Не вопрос,0
оно,Не вопрос,0
business,Не вопрос,0
дело —   — отвечать  — порядок,Не вопрос,0
дело —,Не вопрос,0
дело —   — отвечать  —,Не вопрос,0
твой дело —  —  мочь помогать,Не вопрос,0
твой дело,Не вопрос,0
погода москва год очень хороший,Не вопрос,0
дождь,Не вопрос,0
снег,Не вопрос,0
град,Не вопрос,0
изморось,Не вопрос,0
солнце ярко светить,Не вопрос,0
небо ясный,Не вопрос,0
небо чисто,Не вопрос,0
чистый небо,Не вопрос,0
ярко солнце светить утро,Не вопрос,0
утро дождь,Не вопрос,0
ясный,Не вопрос,0
дождь,Не вопрос,0
дождь,Не вопрос,0
снегопад который начинаться воскресение проходить,Не вопрос,0
прохладно,Не вопрос,0
прохладно,Не вопрос,0
прохладно,Не вопрос,0
прохладно,Не вопрос,0
прохладно,Не вопрос,0
прохладно,Не вопрос,0
прохладно,Не вопрос,0
прохладно,Не вопрос,0
прохладно,Не вопрос,0
прохладно,Не вопрос,0
прохладно,Не вопрос,0
прохладно,Не вопрос,0
мис решать,Не вопрос,0
мис становиться,Не вопрос,0
мис фас,Не вопрос,0
мис расходиться,Не вопрос,0
мис садиться,Не вопрос,0
мис уходить,Не вопрос,0
мис распознавать,Не вопрос,0
мис увеличивать,Не вопрос,0
мис уменьшать,Не вопрос,0
мис устанавливать,Не вопрос,0
мис выключать,Не вопрос,0
мис включать,Не вопрос,0
мис включать,Не вопрос,0
мис включать,Не вопрос,0
мис включать музыка .,Не вопрос,0
мис включать что-нибудь .,Не вопрос,0
мис выключать музыка .,Не вопрос,0
включать музыка из google music,Не вопрос,0
мис включать песня « впускать музыка » .,Не вопрос,0
мис включать песня « моряк » .,Не вопрос,0
включать песня по название,Не вопрос,0
мис включать последний альбом би - 2 .,Не вопрос,0
мис включать альбом « meteora » linkin park .,Не вопрос,0
включать альбом,Не вопрос,0
мис следующий трек .,Не вопрос,0
мис предыдущий трек .,Не вопрос,0
мис 15 умножать на 16 .,Не вопрос,0
мис 420 разделять на 15 .,Не вопрос,0
мис расписание кинотеатр на завтра .,Не вопрос,0
мис включать телевизор .,Не вопрос,0
мис выключать телевизор .,Не вопрос,0
мис пауза .,Не вопрос,0
мис возобновлять .,Не вопрос,0
мис далеко .,Не вопрос,0
мис предыдущий видео .,Не вопрос,0
мис сделать громко .,Не вопрос,0
мис сделать тихо .,Не вопрос,0
мис включать ютуб .,Не вопрос,0
мис включать трейлер вено на телевизор .,Не вопрос,0
мис включать веселый видео .,Не вопрос,0
мис показывать клип linkin park .,Не вопрос,0
мис включать новость .,Не вопрос,0
мис рассказывать новость .,Не вопрос,0
мис новость спорт .,Не вопрос,0
мис новость политика .,Не вопрос,0
решать,Не вопрос,0
становиться,Не вопрос,0
фас,Не вопрос,0
расходиться,Не вопрос,0
садиться,Не вопрос,0
уходить,Не вопрос,0
распознавать,Не вопрос,0
увеличивать,Не вопрос,0
уменьшать,Не вопрос,0
устанавливать,Не вопрос,0
выключать,Не вопрос,0
включать,Не вопрос,0
включать,Не вопрос,0
включать,Не вопрос,0
включать музыка .,Не вопрос,0
включать что-нибудь .,Не вопрос,0
выключать музыка .,Не вопрос,0
включать музыка из google music,Не вопрос,0
включать песня « впускать музыка » .,Не вопрос,0
включать песня « моряк » .,Не вопрос,0
включать песня по название,Не вопрос,0
включать последний альбом би - 2 .,Не вопрос,0
включать альбом « meteora » linkin park .,Не вопрос,0
включать альбом,Не вопрос,0
следующий трек .,Не вопрос,0
предыдущий трек .,Не вопрос,0
15 умножать на 16 .,Не вопрос,0
420 разделять на 15 .,Не вопрос,0
расписание кинотеатр на завтра .,Не вопрос,0
включать телевизор .,Не вопрос,0
выключать телевизор .,Не вопрос,0
пауза .,Не вопрос,0
возобновлять .,Не вопрос,0
далеко .,Не вопрос,0
предыдущий видео .,Не вопрос,0
сделать громко .,Не вопрос,0
сделать тихо .,Не вопрос,0
включать ютуб .,Не вопрос,0
включать трейлер вено на телевизор .,Не вопрос,0
включать веселый видео .,Не вопрос,0
показывать клип linkin park .,Не вопрос,0
включать новость .,Не вопрос,0
рассказывать новость .,Не вопрос,0
новость спорт .,Не вопрос,0
новость политика .,Не вопрос,0
спасибо быстро отвечать —  знать сказать,Не вопрос,0
благодарить внимание,Не вопрос,0
сделать,Не вопрос,0
распознавать,Не вопрос,0
сказать,Не вопрос,0
уходить,Не вопрос,0
приходить,Не вопрос,0
отходить,Не вопрос,0
стоять,Не вопрос,0
идти,Не вопрос,0
наказывать,Не вопрос,0
давать,Не вопрос,0
выбирать,Не вопрос,0
быть,Не вопрос,0
молчать,Не вопрос,0
сказать,Не вопрос,0
говорить,Не вопрос,0
знать,Не вопрос,0
становиться,Не вопрос,0
хотеть,Не вопрос,0
иметь,Не вопрос,0
видеть,Не вопрос,0
ведовать,Не вопрос,0
жить,Не вопрос,0
делать,Не вопрос,0
работать,Не вопрос,0
понимать,Не вопрос,0
пойти,Не вопрос,0
давать,Не вопрос,0
спрашивать,Не вопрос,0
получать,Не вопрос,0
сидеть,Не вопрос,0
оказываться,Не вопрос,0
отказываться,Не вопрос,0
взять,Не вопрос,0
находить,Не вопрос,0
стоять,Не вопрос,0
решать,Не вопрос,0
прийми,Не вопрос,0
читать,Не вопрос,0
бывать,Не вопрос,0
весть,Не вопрос,0
хотеть,Не вопрос,0
весь,Не вопрос,0
показывать,Не вопрос,0
поставлять,Не вопрос,0
называть,Не вопрос,0
требовать,Не вопрос,0
садиться,Не вопрос,0
устанавливать,Не вопрос,0
подымать,Не вопрос,0
уметь,Не вопрос,0
весть,Не вопрос,0
вставать,Не вопрос,0
провожать,Не вопрос,0
бросать,Не вопрос,0
объяснять,Не вопрос,0
убивать,Не вопрос,0
умирать,Не вопрос,0
выглядеть,Не вопрос,0
попросить,Не вопрос,0
служить,Не вопрос,0
состоять,Не вопрос,0
знач,Не вопрос,0
схватывать,Не вопрос,0
позвонить,Не вопрос,0
иметь,Не вопрос,0
стремиться,Не вопрос,0
удивляться,Не вопрос,0
висеть,Не вопрос,0
оставлять,Не вопрос,0
сыграть,Не вопрос,0
поддерживать,Не вопрос,0
следить,Не вопрос,0
включать,Не вопрос,0
менять,Не вопрос,0
включать,Не вопрос,0
терять,Не вопрос,0
повертываться,Не вопрос,0
поворотиться,Не вопрос,0
взяться,Не вопрос,0
прочитывать,Не вопрос,0
тянуть,Не вопрос,0
вводить,Не вопрос,0
напоминать,Не вопрос,0
доказывать,Не вопрос,0
приготавливать,Не вопрос,0
запекать,Не вопрос,0
взять,Не вопрос,0
взбивать,Не вопрос,0
добавлять,Не вопрос,0
почистить,Не вопрос,0
перемешать,Не вопрос,0
заливать,Не вопрос,0
решать,Не вопрос,0
фас,Не вопрос,0
вставать,Не вопрос,0
садиться,Не вопрос,0
расходиться,Не вопрос,0
построиться,Не вопрос,0
нарисовать,Не вопрос,0
покрасить !,Не вопрос,0
сделать !,Не вопрос,0
распознавать !,Не вопрос,0
сказать !,Не вопрос,0
уходить !,Не вопрос,0
приходить !,Не вопрос,0
отходить !,Не вопрос,0
стоять !,Не вопрос,0
идти !,Не вопрос,0
назать !,Не вопрос,0
давать !,Не вопрос,0
выбирать !,Не вопрос,0
быть !,Не вопрос,0
молчать !,Не вопрос,0
сказать !,Не вопрос,0
говорить,Не вопрос,0
знать !,Не вопрос,0
стоять !,Не вопрос,0
хотеть !,Не вопрос,0
иметь !,Не вопрос,0
видеть !,Не вопрос,0
ведовать,Не вопрос,0
жить,Не вопрос,0
делать,Не вопрос,0
работать,Не вопрос,0
понимать,Не вопрос,0
пойти,Не вопрос,0
давать,Не вопрос,0
спрашивать,Не вопрос,0
получать,Не вопрос,0
сидеть,Не вопрос,0
оказываться,Не вопрос,0
отказываться,Не вопрос,0
взять,Не вопрос,0
находить,Не вопрос,0
стоять,Не вопрос,0
решать,Не вопрос,0
прийми,Не вопрос,0
читать,Не вопрос,0
бывать,Не вопрос,0
весть,Не вопрос,0
хотеть,Не вопрос,0
весь,Не вопрос,0
показывать,Не вопрос,0
поставлять,Не вопрос,0
называть,Не вопрос,0
требовать,Не вопрос,0
садиться,Не вопрос,0
устанавливать,Не вопрос,0
подымать,Не вопрос,0
уметь,Не вопрос,0
весть,Не вопрос,0
вставать,Не вопрос,0
провожать,Не вопрос,0
бросать,Не вопрос,0
объяснять,Не вопрос,0
убивать,Не вопрос,0
умирать,Не вопрос,0
выглядеть,Не вопрос,0
попросить,Не вопрос,0
служить,Не вопрос,0
состоять,Не вопрос,0
знач,Не вопрос,0
схватывать,Не вопрос,0
позвонить,Не вопрос,0
иметь,Не вопрос,0
стремиться,Не вопрос,0
удивляться,Не вопрос,0
висеть,Не вопрос,0
оставлять,Не вопрос,0
сыграть,Не вопрос,0
поддерживать,Не вопрос,0
следить,Не вопрос,0
включать,Не вопрос,0
менять,Не вопрос,0
включать,Не вопрос,0
терять,Не вопрос,0
повертываться,Не вопрос,0
поворотиться,Не вопрос,0
взяться,Не вопрос,0
прочитывать,Не вопрос,0
тянуть,Не вопрос,0
вводить,Не вопрос,0
напоминать,Не вопрос,0
доказывать,Не вопрос,0
приготавливать,Не вопрос,0
запекать,Не вопрос,0
взять,Не вопрос,0
взбивать,Не вопрос,0
добавлять,Не вопрос,0
почистить,Не вопрос,0
перемешать,Не вопрос,0
заливать,Не вопрос,0
решать,Не вопрос,0
фас,Не вопрос,0
вставать,Не вопрос,0
садиться,Не вопрос,0
расходиться,Не вопрос,0
построиться,Не вопрос,0
нарисовать,Не вопрос,0
покрасить,Не вопрос,0
сказать,Не вопрос,0
говорить,Не вопрос,0
говорить !,Не вопрос,0
сказать !,Не вопрос,0
сделать,Не вопрос,0
распознавать,Не вопрос,0
сказать,Не вопрос,0
уходить,Не вопрос,0
приходить,Не вопрос,0
отходить,Не вопрос,0
стоять,Не вопрос,0
идти,Не вопрос,0
наказывать,Не вопрос,0
давать,Не вопрос,0
выбирать,Не вопрос,0
быть,Не вопрос,0
молчать,Не вопрос,0
сказать,Не вопрос,0
говорить,Не вопрос,0
знать,Не вопрос,0
становиться,Не вопрос,0
хотеть,Не вопрос,0
иметь,Не вопрос,0
видеть,Не вопрос,0
ведовать,Не вопрос,0
жить,Не вопрос,0
делать,Не вопрос,0
работать,Не вопрос,0
понимать,Не вопрос,0
пойти,Не вопрос,0
давать,Не вопрос,0
спрашивать,Не вопрос,0
получать,Не вопрос,0
сидеть,Не вопрос,0
оказываться,Не вопрос,0
отказываться,Не вопрос,0
взять,Не вопрос,0
находить,Не вопрос,0
стоять,Не вопрос,0
решать,Не вопрос,0
прийми,Не вопрос,0
читать,Не вопрос,0
бывать,Не вопрос,0
весть,Не вопрос,0
хотеть,Не вопрос,0
весь,Не вопрос,0
показывать,Не вопрос,0
поставлять,Не вопрос,0
называть,Не вопрос,0
требовать,Не вопрос,0
садиться,Не вопрос,0
устанавливать,Не вопрос,0
подымать,Не вопрос,0
уметь,Не вопрос,0
весть,Не вопрос,0
вставать,Не вопрос,0
провожать,Не вопрос,0
бросать,Не вопрос,0
объяснять,Не вопрос,0
убивать,Не вопрос,0
умирать,Не вопрос,0
выглядеть,Не вопрос,0
попросить,Не вопрос,0
служить,Не вопрос,0
состоять,Не вопрос,0
знач,Не вопрос,0
схватывать,Не вопрос,0
позвонить,Не вопрос,0
иметь,Не вопрос,0
стремиться,Не вопрос,0
удивляться,Не вопрос,0
висеть,Не вопрос,0
оставлять,Не вопрос,0
сыграть,Не вопрос,0
поддерживать,Не вопрос,0
следить,Не вопрос,0
включать,Не вопрос,0
менять,Не вопрос,0
включать,Не вопрос,0
терять,Не вопрос,0
повертываться,Не вопрос,0
поворотиться,Не вопрос,0
взяться,Не вопрос,0
прочитывать,Не вопрос,0
тянуть,Не вопрос,0
вводить,Не вопрос,0
напоминать,Не вопрос,0
доказывать,Не вопрос,0
приготавливать,Не вопрос,0
запекать,Не вопрос,0
взять,Не вопрос,0
взбивать,Не вопрос,0
добавлять,Не вопрос,0
почистить,Не вопрос,0
перемешать,Не вопрос,0
заливать,Не вопрос,0
решать,Не вопрос,0
фас,Не вопрос,0
вставать,Не вопрос,0
садиться,Не вопрос,0
расходиться,Не вопрос,0
построиться,Не вопрос,0
нарисовать,Не вопрос,0
покрасить !,Не вопрос,0
сделать !,Не вопрос,0
распознавать !,Не вопрос,0
сказать !,Не вопрос,0
уходить !,Не вопрос,0
приходить !,Не вопрос,0
отходить !,Не вопрос,0
стоять !,Не вопрос,0
идти !,Не вопрос,0
назать !,Не вопрос,0
давать !,Не вопрос,0
выбирать !,Не вопрос,0
быть !,Не вопрос,0
молчать !,Не вопрос,0
сказать !,Не вопрос,0
говорить,Не вопрос,0
знать !,Не вопрос,0
стоять !,Не вопрос,0
хотеть !,Не вопрос,0
иметь !,Не вопрос,0
видеть !,Не вопрос,0
ведовать,Не вопрос,0
жить,Не вопрос,0
делать,Не вопрос,0
работать,Не вопрос,0
понимать,Не вопрос,0
пойти,Не вопрос,0
давать,Не вопрос,0
спрашивать,Не вопрос,0
получать,Не вопрос,0
сидеть,Не вопрос,0
оказываться,Не вопрос,0
отказываться,Не вопрос,0
взять,Не вопрос,0
находить,Не вопрос,0
стоять,Не вопрос,0
решать,Не вопрос,0
прийми,Не вопрос,0
читать,Не вопрос,0
бывать,Не вопрос,0
весть,Не вопрос,0
хотеть,Не вопрос,0
весь,Не вопрос,0
показывать,Не вопрос,0
поставлять,Не вопрос,0
называть,Не вопрос,0
требовать,Не вопрос,0
садиться,Не вопрос,0
устанавливать,Не вопрос,0
подымать,Не вопрос,0
уметь,Не вопрос,0
весть,Не вопрос,0
вставать,Не вопрос,0
провожать,Не вопрос,0
бросать,Не вопрос,0
объяснять,Не вопрос,0
убивать,Не вопрос,0
умирать,Не вопрос,0
выглядеть,Не вопрос,0
попросить,Не вопрос,0
служить,Не вопрос,0
состоять,Не вопрос,0
знач,Не вопрос,0
схватывать,Не вопрос,0
позвонить,Не вопрос,0
иметь,Не вопрос,0
стремиться,Не вопрос,0
удивляться,Не вопрос,0
висеть,Не вопрос,0
оставлять,Не вопрос,0
сыграть,Не вопрос,0
поддерживать,Не вопрос,0
следить,Не вопрос,0
включать,Не вопрос,0
менять,Не вопрос,0
включать,Не вопрос,0
терять,Не вопрос,0
повертываться,Не вопрос,0
поворотиться,Не вопрос,0
взяться,Не вопрос,0
прочитывать,Не вопрос,0
тянуть,Не вопрос,0
вводить,Не вопрос,0
напоминать,Не вопрос,0
доказывать,Не вопрос,0
приготавливать,Не вопрос,0
запекать,Не вопрос,0
взять,Не вопрос,0
взбивать,Не вопрос,0
добавлять,Не вопрос,0
почистить,Не вопрос,0
перемешать,Не вопрос,0
заливать,Не вопрос,0
решать,Не вопрос,0
фас,Не вопрос,0
вставать,Не вопрос,0
садиться,Не вопрос,0
расходиться,Не вопрос,0
построиться,Не вопрос,0
нарисовать,Не вопрос,0
покрасить,Не вопрос,0
мис решать,Не вопрос,0
мис становиться,Не вопрос,0
мис фас,Не вопрос,0
мис расходиться,Не вопрос,0
мис садиться,Не вопрос,0
мис уходить,Не вопрос,0
мис распознавать,Не вопрос,0
мис увеличивать,Не вопрос,0
мис уменьшать,Не вопрос,0
мис устанавливать,Не вопрос,0
мис выключать,Не вопрос,0
мис включать,Не вопрос,0
мис включать,Не вопрос,0
мис включать,Не вопрос,0
мис включать музыка .,Не вопрос,0
мис включать что-нибудь .,Не вопрос,0
мис выключать музыка .,Не вопрос,0
включать музыка из google music,Не вопрос,0
мис включать песня « впускать музыка » .,Не вопрос,0
мис включать песня « моряк » .,Не вопрос,0
включать песня по название,Не вопрос,0
мис включать последний альбом би - 2 .,Не вопрос,0
мис включать альбом « meteora » linkin park .,Не вопрос,0
включать альбом,Не вопрос,0
мис следующий трек .,Не вопрос,0
мис предыдущий трек .,Не вопрос,0
мис 15 умножать на 16 .,Не вопрос,0
мис 420 разделять на 15 .,Не вопрос,0
мис расписание кинотеатр на завтра .,Не вопрос,0
мис включать телевизор .,Не вопрос,0
мис выключать телевизор .,Не вопрос,0
мис пауза .,Не вопрос,0
мис возобновлять .,Не вопрос,0
мис далеко .,Не вопрос,0
мис предыдущий видео .,Не вопрос,0
мис сделать громко .,Не вопрос,0
мис сделать тихо .,Не вопрос,0
